,tourney_name,tourney_date,round,minutes,score,winner_name,loser_name,NBI,comeback_score,avg_set_margin,tiebreaks_count,lead_changes,bp_saved_ratio,bp_total
111,Wimbledon,20010625,SF,180.0,2-6 6-3 3-6 6-2 8-6,Patrick Rafter,Andre Agassi,0.4961111407552862,2,3.2,0,3,0.625,24.0
112,US Open,19790828,SF,153.60000000000002,3-6 2-6 7-6 6-3 6-3,Vitas Gerulaitis,Roscoe Tanner,0.4931267075044822,3,2.8,0,1,0.625,0.0
113,Wimbledon,19890626,SF,166.4,7-5 6-7 2-6 6-4 6-3,Boris Becker,Ivan Lendl,0.49177877500782613,2,2.4,0,2,0.625,0.0
114,Wimbledon,19950626,SF,175.0,2-6 7-6(1) 6-4 7-6(1),Boris Becker,Andre Agassi,0.4914277882125274,0,2.0,2,1,0.7666666666666667,30.0
115,Roland Garros,20030526,SF,160.0,7-6(4) 6-4 7-6(0),Martin Verkerk,Guillermo Coria,0.49089161615299237,0,1.3333333333333333,2,0,0.6428571428571429,14.0
116,Roland Garros,19810525,F,131.20000000000002,6-1 4-6 6-2 3-6 6-1,Bjorn Borg,Ivan Lendl,0.4905877906314921,2,3.8,0,4,0.625,0.0
117,Roland Garros,19960527,F,152.0,7-6(4) 7-5 7-6(4),Yevgeny Kafelnikov,Michael Stich,0.48936672927516434,0,1.3333333333333333,2,0,0.6818181818181818,22.0
118,Australian Open,20110117,SF,226.0,4-6 7-6(2) 6-1 7-6(2),Andy Murray,David Ferrer,0.48767123031585885,0,2.25,2,1,0.6206896551724138,29.0
119,Roland Garros,19990524,SF,179.0,7-5 3-6 6-4 7-6(6),Andrei Medvedev,Fernando Meligeni,0.4872162874583795,0,2.0,1,2,0.625,40.0
120,Roland Garros,19880523,SF,153.60000000000002,4-6 6-2 7-5 5-7 6-0,Mats Wilander,Andre Agassi,0.48715186473718664,2,3.2,0,3,0.625,0.0
121,Wimbledon,20150629,F,176.0,7-6(1) 6-7(10) 6-4 6-3,Novak Djokovic,Roger Federer,0.48632254759668736,0,1.75,2,2,0.7058823529411765,17.0
122,Roland Garros,20240526,SF,144.0,2-6 6-3 3-6 6-4 6-3,Carlos Alcaraz,Jannik Sinner,0.48558970090213155,2,3.0,0,3,0.5,24.0
